热词,PC1,PC2
"艾特,OK,喜欢,猥琐,来了,艾特我,调皮,猪头,我就是,姐妹,大行,博主,给你,我闻,在这,猥琐男,出来吧,九转,大肠,不请自来,刷到,小哥,让我,宝宝,老公,文案,无关,周京泽,老弟,味儿",-2852669.452457555,235908.41770694777
"实名,观看,爱看,让我,的人,阿姨,笑死了,拒绝,女色,喜欢,做起,振兴中华,广东,OK,九转,大肠,好看,暴雪,发呆,湖南,地板,朋友,广西,抖音,宕机,不白看,安徽,这是,暗中观察,灵机一动",596091.9652309511,293204.11093533906
"呼唤,远山,新疆,好美,太美了,工资,这是,孩子,还得,地方,上班,老公,有钱,出发,好想,没钱,我了,好看,不想,感觉,AI,抖音,好漂亮,去过,灵机一动,玩了,有没有,好好看,别搞,美的",6415118.855550316,135077.21588906948
"OK,逆水寒,衣服,好看,好好看,宕机,人民币,想要,九转,大肠,莫名其妙,茶壶,15w,能不能,好美,少爷,我去,买不起,喜欢,小姐,咬咬牙,发呆,逞强,落泪,感觉,真好看,给我,翅膀,不买,有钱人",-1819959.9484826871,101621.37682375508
"记录,背影,许愿,的人,宝宝,喜欢,拍的,猪头,OK,记录下来,男朋友,拍照,不行,好朋友,调皮,发色,偷拍,链接,感觉,好看,头发,丑照,文案,朋友,有链接,好好看,手机,给我,好喜欢,出去玩",-329835.39021825977,392727.0727969508
"感谢,英雄,点赞,爱心,平安,好人,一生,致敬,人民英雄,旭恒,人民,舍己救人,平安果,致敬英雄,学习,中国,你点赞,健康长寿,真英雄,民警,健康,大英雄,抱抱,抱拳,保佑,救人,舍已救人,平平安安,英雄点,一等功",2954999.295169008,2557.16015822842
"孩子,有爱,好人,的人,善良,外卖小哥,温暖,骑手,暖心,真好,老板娘,感谢,世界,平安,一生,外卖,感动,爱心,生意,生活,人间,外卖员,帮忙,长大,抱抱,美团,宝宝,都是,接力,看着",-1265856.680381327,-22788.45994743841
"垄断,石油,套现,马云,烟草,反垄断,老百姓,国家,马总,资本,反垄断法,算不算,资本家,中国,公平,行业,超市,美女,支持,都是,美团,平台,企业,你说,道理,出台,公司,明白,银行,有钱",6847926.778832044,-105120.62338299892
"芙芙,国宴,OK,老师,芙宁娜,歪了,逞强,落泪,老实,cos,专武,原神,好美,水神,眼含,热泪,枫丹,感觉,细糠,仙品,好牛,抽出,宕机,九转,大肠,芙厨,大保底,出了,二命,宝宝",-2391093.7636635955,239674.1272779232
"好可爱,忧忧,OK,电影,好像,想到,笑死我了,喜欢,尴尬,去看,感觉,九转,大肠,想起,真实,好看,一模一样,尴尬的,有点像,宕机,宝宝,太可爱了,莫名其妙,发呆,我了,笑死了,ing,是我,头脑,事情",-3030327.905577938,40693.421594418
"和好,好吧,姐夫,吵架,宝宝,复合,分开,艾特,想你了,哭了,嫂子,好想你,是你,伤害,我好,看着,分手,食不下咽,声音,抱抱,夜不能寐,想让,脑海,全是,伤人,OK,争吵不休,嘴脸,说爱你,难听",2011521.2716653915,184073.060338124
"血肉,狗肉,山东,长出,疯狂,被爱,狗狗,OK,的人,小狗,山东人,好人,江户川,我家,评论,平安,爱会,一生,宝宝,评论区,太庙,抱抱,艾特,配享,好吃,盖庙,喜欢,动物,抖音,感谢",3403194.846490762,114528.82878289292
"来人,留子,老家,军中绿花,娘家,眼泪,留学生,中国人,完了,军训,预备,回应,热泪盈眶,娘家人,热血沸腾,哭了,寒风,飘飘,落叶,狗仗人势,唱歌,宕机,解放军,仪仗队,感动,激动,我不会,首歌,中国,白俄罗斯",273381.7644486064,78324.78841253206
"瑞士,过山车,我去,好想,猪头,感觉,发呆,盖尔,文案,钱会,回来,抖音,有钱,道理,风景,去吧,OK,好美,出去玩,新疆,往返,坡度,样子,阿尔卑斯山,川西,文旅,诱惑,没钱,欧洲,出发",3987409.820766651,208513.3870838041
"法老,宕机,发呆,埃及,好高,中国,埃及法老,好高啊,好帅,木乃伊,衣服,感觉,抖音,国家,毕业,九转,大肠,考研,埃及人,我去,硕士,我以为,宠妃,好像,文化,多高,好酷,见到,学校,刷到",7126949.064433039,16213.00543235716
"ai,好看,好美,宝宝,AI,头发,思念,喜欢,好好看,也有,生命,呼吸,有你,发色,好漂亮,评论,吱声,新号,好喜欢,宕机,更好,美女,想染,姐姐,猪头,Ai,发呆,我去,听说,活跃",-210800.21656591815,330467.6534578653
"中国,马赫,真理,大炮,祖国,中国人,争气,奥特曼,咱妈,国家,文物,强大,骄傲,爽文,万岁,归还,我妈,妈妈,射程,大英博物馆,日本,回来,收徒,九转,大肠,导弹,尊严,感谢,繁荣昌盛,中华人民共和国",6701532.489065859,96662.88639334592
"减速带,笑死我了,吃了,玉米肠,路面,颜色,看不到,头盔,宕机,笑死了,摔了,设计,地面,这是,官方,水泥,好可爱,感觉,看得,看了,有问题,骑车,好疼,小狗,牙齿,没用,我以为,不快,合理吗,我还以为",1745951.0406283382,65323.35539696514
"香港,香港回归,生日,回归,出生,首歌,祖国,繁荣昌盛,抱抱,祝福,庆祝,普通话,回家,生日快乐,去过,热烈庆祝,祝福祖国,爱心,记得,听到,是我,歧视,地方,好想,香港人,粤语,东方之珠,荣幸,感谢,时间",-785052.184008142,1342.816090856315
"真功夫,厉害,功夫,六小龄童,猴拳,表演,感谢,不错,高手,动作,年龄,好功夫,抱拳,西游记,民间,孙悟空,功底,实战,完美,穿上,历害,牛逼,猴子,真棒,武术,衣服,确实,灵活,这是,漂亮",2426396.0371085424,-81021.54835629463
"性感,男人,麦克,在这,弱爆了,不需要,都比,结婚,贵气,身材比例,好耶,帅到,领导,跳舞,超喜欢,太帅了,早点睡,DO,上热门,讨厌,眼袋,痘印",-531081.8459249446,158740.23053608226
"冰箱,我家,赵露思,OK,好看,评论区,全是,剩菜,都是,感觉,宝宝,喜欢,调皮,身材,帽子,情愿,好像,衣服,适合,链接,九转,大肠,有感觉,爱上你,给我,拍个,照片,拍的,姐姐,给你",-1217177.1526432307,178757.45647504076
"安全员,ps,安全帽,工地,PS,工作,帽子,笑死,帽带,九转,大肠,笑死我了,大佬,p图,公章,笑死了,暗中观察,照片,技术,老板,领导,隐患,评论区,P图,干过,整改,一份,就业,罚款,灵机一动",10911020.168879334,72560.20855244444
"评论区,留子,中国人,红绿灯,看评论区,外国人,警察,九转,大肠,硬控,宕机,中国,意林,感觉,留学生,看评论,不知道,过马路,老外,朋友,闯红灯,红灯,记得,外国,派对,评论,OK,热闹,视频,文明",2716228.853352173,158622.0298009724
"射手,喜欢,好看,掉下去,射手座,不白看,新加坡,这是,发呆,你老婆,老公,爱看,底层,老婆,卖力,一不骗,二不骗,微不足道,现实,陌生人,送温暖,黑暗,用户,取悦,一个人,春风,过客,繁星,星河,祝你",-396105.8807134172,222219.49494443857
"思念,也有,喜欢,呼吸,有你,生命,宋词,帅哥,宝宝,好帅,OK,眼睛,老公,调皮,抖音,感觉,名字,猪头,陈喃,首歌,九转,大肠,不想,推荐,刷到,让我,看帅哥,爱了,偷看,女生",-1963313.2817834509,288116.33177647047
"bgm,鸡皮疙瘩,杨幂,BGM,起来了,感觉,赵无延,屋檐,抬头,演技,仙剑三,音乐,景天,仙剑,雪见,响起,电视剧,宿命感,配乐,没错,麦振鸿,胡歌,仙剑一,看过,恰到好处,一响,紫萱,灵动,喜欢,看了",13643870.028586898,137806.37976990314
"猫哥,爱看,阿姨,休息,前提,让我,拒绝,喜欢,不白看,抖音,婚纱,严选,你点赞,感谢,赵七,好人,平安,广东,发呆,评论区,太美了,居里夫人,不想,女人,穿成,非常感谢,谁的老婆,政府,平台,CCTV",-1091037.357165794,114642.55239375443
"小猫,口气,老弟,口臭,九转,大肠,姐姐,好大,臭臭,攻击,小茄子,不高兴,好像,小鼻嘎,好可爱,放开,滂臭,凑凑,炒俩,我家,笑死我了,橘猫,OK,评论区,欺负我,吹倒,猪头,哈气,给我,微醺",65398.920909214765,202598.34803229748
"上床,小狗,好可爱,凉席,鸡毛,猪头,席子,笑死我了,调皮,配音,我家,头发,说话,好像,阴阳怪气,睡觉,夹毛,小猫,语气,OK,老实,宕机,发呆,宝宝,感觉,九转,大肠,不准,艾特,小狗狗",1526061.430907772,159126.4219318483
"身材,喜欢,好看,男人,党和人民,女人,找个,完美,漂亮,姿色,肉肉,真棒,大叔,有没有,看了,怀疑,真好看,好身材,聊天,越好,有吗,背影,你好,极品,尤物,带劲,不错,不白看,给你,爱心",-502565.9456015527,-12363.705704760298
"成都,ID,id,有没有,光遇,好想,我带,宝宝,羡慕,帮忙,OK,我去,宕机,能帮,老师,逞强,落泪,发呆,眼含,热泪,带我去,帮我,猪头,哭了,照片,我想,大肠,九转,快去,帮带",-3228919.696733806,101776.80789650364
"出道,都会,OK,出道吧,姐姐,宕机,唱跳,刷到,首歌,感觉,女神降临,好听,神秘,girl,粉丝,九转,大肠,好像,实力,宝宝,抖音,表情管理,发呆,时代峰峻,调皮,版权,收拾,大妹子,衣服,韩剧",5204074.656621766,163171.78713305754
"老师,膀胱,OK,大脑,脑子,宕机,笑死我了,答案,泌尿系统,大肠,同学,九转,作业,尿道,脑子里,就医,生物老师,评论区,尿尿,结构,它善,输尿管,系统,看了,逆天,努力,耳朵,线下,回答,无敌了",2355434.680255388,252871.41890186476
"爱看,不白看,喜欢,有劲,好看,这是,有图,让我,二不骗,抖音,卖力,给你,队伍,陌生人,救赎,带劲,就来,的人,拒绝,黑暗,列车,九转,大肠,给我,女色,做起,身材,笑死了,灵机一动,爱心",3575900.7384084286,249794.09288724163
