热词,PC1,PC2
"感谢,英雄,点赞,爱心,平安,好人,一生,致敬,人民英雄,旭恒,人民,舍己救人,平安果,致敬英雄,学习,中国,你点赞,健康长寿,真英雄,民警,健康,大英雄,抱抱,抱拳,保佑,救人,舍已救人,平平安安,英雄点,一等功",3696374.024710087,52008.821690144025
"孩子,有爱,好人,的人,善良,外卖小哥,温暖,骑手,暖心,真好,老板娘,感谢,世界,平安,一生,外卖,感动,爱心,生意,生活,人间,外卖员,帮忙,长大,抱抱,美团,宝宝,都是,接力,看着",-524306.2064040303,-6892.0452377577385
"好可爱,忧忧,OK,电影,好像,想到,笑死我了,喜欢,尴尬,去看,感觉,九转,大肠,想起,真实,好看,一模一样,尴尬的,有点像,宕机,宝宝,太可爱了,莫名其妙,发呆,我了,笑死了,ing,是我,头脑,事情",-2289057.4492841936,48552.86463527829
"血肉,狗肉,山东,长出,疯狂,被爱,狗狗,OK,的人,小狗,山东人,好人,江户川,我家,评论,平安,爱会,一生,宝宝,评论区,太庙,抱抱,艾特,配享,好吃,盖庙,喜欢,动物,抖音,感谢",4144034.273282625,170712.1099264184
"来人,留子,老家,军中绿花,娘家,眼泪,留学生,中国人,完了,军训,预备,回应,热泪盈眶,娘家人,热血沸腾,哭了,寒风,飘飘,落叶,狗仗人势,唱歌,宕机,解放军,仪仗队,感动,激动,我不会,首歌,中国,白俄罗斯",1014429.8786091907,114889.33607432633
"瑞士,过山车,我去,好想,猪头,感觉,发呆,盖尔,文案,钱会,回来,抖音,有钱,道理,风景,去吧,OK,好美,出去玩,新疆,往返,坡度,样子,阿尔卑斯山,川西,文旅,诱惑,没钱,欧洲,出发",4727802.040142443,262752.7592228939
"法老,宕机,发呆,埃及,好高,中国,埃及法老,好高啊,好帅,木乃伊,衣服,感觉,抖音,国家,毕业,九转,大肠,考研,埃及人,我去,硕士,我以为,宠妃,好像,文化,多高,好酷,见到,学校,刷到",7868221.169741215,73432.09336714586
"中国,马赫,真理,大炮,祖国,中国人,争气,奥特曼,咱妈,国家,文物,强大,骄傲,爽文,万岁,归还,我妈,妈妈,射程,大英博物馆,日本,回来,收徒,九转,大肠,导弹,尊严,感谢,繁荣昌盛,中华人民共和国",7442420.051802406,166910.74937968657
"减速带,笑死我了,吃了,玉米肠,路面,颜色,看不到,头盔,宕机,笑死了,摔了,设计,地面,这是,官方,水泥,好可爱,感觉,看得,看了,有问题,骑车,好疼,小狗,牙齿,没用,我以为,不快,合理吗,我还以为",2487064.095919992,77099.58539346044
"香港,香港回归,生日,回归,出生,首歌,祖国,繁荣昌盛,抱抱,祝福,庆祝,普通话,回家,生日快乐,去过,热烈庆祝,祝福祖国,爱心,记得,听到,是我,歧视,地方,好想,香港人,粤语,东方之珠,荣幸,感谢,时间",-43622.5825875178,22286.900663979563
"真功夫,厉害,功夫,六小龄童,猴拳,表演,感谢,不错,高手,动作,年龄,好功夫,抱拳,西游记,民间,孙悟空,功底,实战,完美,穿上,历害,牛逼,猴子,真棒,武术,衣服,确实,灵活,这是,漂亮",3168178.0253055347,-44837.12374847778
"性感,男人,麦克,在这,弱爆了,不需要,都比,结婚,贵气,身材比例,好耶,帅到,领导,跳舞,超喜欢,太帅了,早点睡,DO,上热门,讨厌,眼袋,痘印",209598.182986849,187584.5896756693
"冰箱,我家,赵露思,OK,好看,评论区,全是,剩菜,都是,感觉,宝宝,喜欢,调皮,身材,帽子,情愿,好像,衣服,适合,链接,九转,大肠,有感觉,爱上你,给我,拍个,照片,拍的,姐姐,给你",-476586.52298098896,208432.99648293815
"安全员,ps,安全帽,工地,PS,工作,帽子,笑死,帽带,九转,大肠,笑死我了,大佬,p图,公章,笑死了,暗中观察,照片,技术,老板,领导,隐患,评论区,P图,干过,整改,一份,就业,罚款,灵机一动",11651997.294906512,126633.84723468439
"评论区,留子,中国人,红绿灯,看评论区,外国人,警察,九转,大肠,硬控,宕机,中国,意林,感觉,留学生,看评论,不知道,过马路,老外,朋友,闯红灯,红灯,记得,外国,派对,评论,OK,热闹,视频,文明",3456864.8202475244,216152.3411023515
"射手,喜欢,好看,掉下去,射手座,不白看,新加坡,这是,发呆,你老婆,老公,爱看,底层,老婆,卖力,一不骗,二不骗,微不足道,现实,陌生人,送温暖,黑暗,用户,取悦,一个人,春风,过客,繁星,星河,祝你",344277.7438480845,245204.23323156656
"思念,也有,喜欢,呼吸,有你,生命,宋词,帅哥,宝宝,好帅,OK,眼睛,老公,调皮,抖音,感觉,名字,猪头,陈喃,首歌,九转,大肠,不想,推荐,刷到,让我,看帅哥,爱了,偷看,女生",-1223233.3982744217,319806.6843177519
"bgm,鸡皮疙瘩,杨幂,BGM,起来了,感觉,赵无延,屋檐,抬头,演技,仙剑三,音乐,景天,仙剑,雪见,响起,电视剧,宿命感,配乐,没错,麦振鸿,胡歌,仙剑一,看过,恰到好处,一响,紫萱,灵动,喜欢,看了",14384490.463910455,233499.99268777197
"猫哥,爱看,阿姨,休息,前提,让我,拒绝,喜欢,不白看,抖音,婚纱,严选,你点赞,感谢,赵七,好人,平安,广东,发呆,评论区,太美了,居里夫人,不想,女人,穿成,非常感谢,谁的老婆,政府,平台,CCTV",-350128.9651202727,119035.0938272897
"小猫,口气,老弟,口臭,九转,大肠,姐姐,好大,臭臭,攻击,小茄子,不高兴,好像,小鼻嘎,好可爱,放开,滂臭,凑凑,炒俩,我家,笑死我了,橘猫,OK,评论区,欺负我,吹倒,猪头,哈气,给我,微醺",805868.4273725823,229407.85926227656
"上床,小狗,好可爱,凉席,鸡毛,猪头,席子,笑死我了,调皮,配音,我家,头发,说话,好像,阴阳怪气,睡觉,夹毛,小猫,语气,OK,老实,宕机,发呆,宝宝,感觉,九转,大肠,不准,艾特,小狗狗",2266719.6286524627,193722.82098679786
"身材,喜欢,好看,男人,党和人民,女人,找个,完美,漂亮,姿色,肉肉,真棒,大叔,有没有,看了,怀疑,真好看,好身材,聊天,越好,有吗,背影,你好,极品,尤物,带劲,不错,不白看,给你,爱心",238926.99944032356,6771.06687724909
"成都,ID,id,有没有,光遇,好想,我带,宝宝,羡慕,帮忙,OK,我去,宕机,能帮,老师,逞强,落泪,发呆,眼含,热泪,带我去,帮我,猪头,哭了,照片,我想,大肠,九转,快去,帮带",-2487937.4473666265,110388.72746623887
"出道,都会,OK,出道吧,姐姐,宕机,唱跳,刷到,首歌,感觉,女神降临,好听,神秘,girl,粉丝,九转,大肠,好像,实力,宝宝,抖音,表情管理,发呆,时代峰峻,调皮,版权,收拾,大妹子,衣服,韩剧",5944659.701178204,235266.767940528
"爱看,不白看,喜欢,有劲,好看,这是,有图,让我,二不骗,抖音,卖力,给你,队伍,陌生人,救赎,带劲,就来,的人,拒绝,黑暗,列车,九转,大肠,给我,女色,做起,身材,笑死了,灵机一动,爱心",4316119.732218385,276413.6919991276
"双胞胎,孩子,爱心,北大,感谢,优秀,梦想成真,厉害,小学生,溆浦,姐妹,希望,国防科,恭喜恭喜,点赞,骄傲,大学,看着,祝贺,分数,父母,真棒,清华,高考,国家,国防科技大学,恭喜,我家,妹妹,祝福",9796697.50232604,-86783.35480685763
"幼儿园,变脸,吓人,园长,好可怕,好恐怖,恐怖,老师,孩子,太吓人了,九转,大肠,可怕,速度,太可怕了,川剧变脸,吓到,感觉,表情,瘆人,家长,真吓人,小孩,笑面虎,责任,表情管理,宕机,变得,我了,学校",7562560.770263007,127150.67455994259
"拔罐,大爷,不拔,正面,车展,拔火罐,车模,火罐,可惜了,不去,后背,男人,看车,衣服,保安,猥琐,发呆,这是,眼神,你们老婆,在哪里,暗中观察,九转,大肠,你老婆,拔个,好看,老头,梦泪,可惜",6966470.817636702,-44360.65212774479
"感谢,美女,谢谢,吉言,爱心,收下,谢谢你,妹妹,收到,祝你,多谢,平安果,祝福,全家,你好,快乐,謝谢,身体健康,好意,心想事成,平安,如意,小妹妹,小妹,善良,一生,小美女,祝你幸福,姑娘,发财",-2091173.7679640776,38956.9907480356
"生日快乐,祝党,繁荣昌盛,祖国,我党,快乐,祖国万岁,爱心,感谢,抱抱,生日,党生日,中国,祝福祖国,人民,祝愿,中国共产党,万事如意,国泰民安,永葆青春,健康,社会,和谐,嘻嘻,荣幸,我和,万丈光芒,光荣,万岁,英雄",859703.604841968,181928.74158106348
"心想事成,好看,看了,感觉,好好好,重生,好运,笑死我了,好像,宕机,小说,灵机一动,张凌赫,女主,剧情,陈鹤一,OK,发呆,喜欢,九转,大肠,好看的,去看,暗中观察,赵今麦,男二,电视剧,猪头,ju,笑死了",10189778.446413253,198547.45343278194
"爱心,恭喜恭喜,儿女,点赞,母亲,孩子,的母亲,培养,感谢,了不起,优秀,恭喜,国家,优秀的,你点赞,真棒,父母,妈妈,人才,骄傲,沾沾喜气,女儿,太优秀了,优秀儿女,清华,太棒了,儿子,平安果,考上,祝贺",-26635.165990875103,-17995.6501362337
"历史,文明,中国,中国历史,公知,世界,领先,文化,英国,沉迷,道理,国家,都是,华盛顿,欧洲,感谢,你说,主播,的人,中国人,落后,世界历史,博物馆,发展,文物,真话,美国,抖音,外国,胡说八道",-1662252.232732419,949.4179664951371
"老实,让我,OK,帅哥,谈不到,想谈,谈个,调皮,喜欢,谈到,教程,不想,宕机,感谢,看不上,九转,大肠,老公,小帅,感觉,帅的,谈过,不知道,现实,给我,灵机一动,躺平,对象,求放过,请问",-671407.4788653897,406238.0855993924
"惊讶,打开,感谢,玻璃渣,抱抱,指甲盖,打不开,瓶子,老实,求放过,可乐,粽子,发呆,生就,笑容,笑成,大奋,指甲,人生,玻璃瓶,偷喝,方式,暗中观察,口香糖,眼神,玻璃,碎渣,范马,勇次郎,塑料",-437417.2812685948,48264.74266163783
"河南,网恋,好美,大省,宝宝,河南人,OK,让我,喜欢,都说,抖音,确实,说话,不敢说,希望,好漂亮,性格,害怕,好看,气氛,分手吧,不应该,东西,异地,哪有,不吵架,我很好奇,合适,坚定,干扰",-2566838.613968849,239258.0165285475
"卷毛,喜欢,大妹子,抖音,手机,天塌,OK,项链,你看,好看,猪头,发呆,小狗,看了,宝宝,咬手指,刷到,我能,天都,这是,够了,学学,我喜欢,好可爱,头发,拉屎,视频,上班,不好意思,要看",-2477180.6344696363,147530.8021404524
"小品,春晚,三喜,好看,吕严,土豆,楚门,的世界,感觉,讽刺,好笑,喜剧,看了,创意,不好笑,宕机,大赛,第三季,开播,吐槽,有意思,一年一度,腾讯,过年,不知道,九转,大肠,好像,不错,包饺子",2907104.8957418045,116183.6960497628
"笑死我了,衣服,笑死了,宕机,笑得,OK,最搞笑,主播,这是,好好笑,我以为,特效,好可爱,我想死,拍过,身材,笑晕,发呆,它善,谁懂,莫名其妙,识别,调皮,我了,双胞胎,我笑死,好搞笑,艾特,姊妹,视频",-1627894.5575005603,99247.63428078729
"baby,喜欢,比伯,好听,首歌,ccd,OK,好喜欢,宕机,调皮,贾斯汀,相机,好好听,感觉,Justin,歌词,oh,Bieber,鞋子,好痒,甜妹,猪头,超喜欢,英语,我去,声音,love,好帅,想要,小学",3466572.485468542,143287.06732465542
"桃酥,好吃,很好吃,东西,牛奶,爱吃,垃圾桶,喜欢,玩意,感觉,讨厌,不爱,OK,吃了,不吃,詹记,不喜欢,九转,大肠,真实,渣渣,挺好吃,难吃,宕机,泸溪河,零食,我爱,都是,玩意儿,食物",14772741.333255118,105369.51327645857
"好可爱,小狗,奶奶,狗狗,品种,好像,这是,我家,宝宝,干净,好乖,喜欢,小狗狗,监控,猪头,抱抱,小宝宝,照顾,太可爱了,视频,陪陪,真好,感觉,好可爱呀,好漂亮,歪头,回家,余华,爱它,肉肉",-43919.219201168045,90351.37824911403
"烟草,张雪峰,专业,孩子,行业,公司,单位,都是,社会,老百姓,中国,工作,电力,的人,现实,老师,普通人,张老师,戒烟,人脉,银行,关系,农民,上班,抽烟,国家,工资,资源,毕业,石油",3468348.9798482684,29086.868080882
"也有,小猫,我家,猫猫,有猫,野人,逆子,摸摸,尸体,我有,有吗,暗中观察,九转,大肠,没有猫猫,调皮,猪头,没事,宕机,的人,猫啊,宝宝,抱抱,弃养,OK,都没有,喜欢,布偶,两只,小猫咪",3016654.8569701184,134501.44993379308
"爱看,实名,观看,好看,抖音,喜欢,感谢,不白看,关注,刷到,不错,这是,你点赞,真好看,灵机一动,比基尼,的人,美女,发呆,OK,看了,的世界,选妃,发明,发际线,老婆,收藏,给我,果断,宕机",3637318.644952867,100414.64711131353
